Country,Year,Undernourishment,ChildWasting,ChildStunting,ChildMortality,GHI_Score
Libya,2008,5.9,6.5,29.0,1.9,14.8
Lithuania,2008,1.25,4.3,2.2,0.7,2.5
Madagascar,2008,30.0,8.2,52.0,7.5,36.6
Malawi,2008,15.9,1.9,50.1,9.3,28.5
Malaysia,2008,3.6,13.2,18.0,0.8,13.9
Mali,2008,7.4,12.1,33.4,14.3,31.3
Mauritania,2008,7.3,8.1,28.6,6.0,20.1
Mauritius,2008,5.4,13.2,9.1,1.5,13.2
Mexico,2008,3.9,3.5,15.3,2.0,9.2
Mongolia,2008,21.9,1.7,18.0,3.1,17.3
Montenegro,2008,1.25,4.2,8.7,0.8,5.8
Morocco,2008,4.8,3.4,18.0,3.5,11.5
Mozambique,2008,23.6,4.2,44.8,10.4,32.7
Myanmar,2008,14.0,7.9,35.5,10.1,28.3
Namibia,2008,26.1,7.6,27.7,5.6,27.1
Nepal,2008,13.1,12.7,46.0,5.3,28.5
Nicaragua,2008,19.9,1.5,23.100000381469727,2.6,17.1
Niger,2008,15.2,13.4,47.5,14.7,39.0
Nigeria,2008,9.6,9.8,39.3,14.1,32.3
North Macedonia,2008,3.0,2.4,7.7,1.2,5.5
Oman,2008,5.5,7.1,11.7,1.2,10.2
Pakistan,2008,15.1,11.8,45.3,9.1,32.3
Panama,2008,11.2,1.2,21.6,2.0,12.3
Papua New Guinea,2008,27.6,7.9,46.4,6.2,32.8
Paraguay,2008,3.6,1.5,13.9,2.8,8.3
Peru,2008,11.0,0.8,24.1,2.2,12.9
Philippines,2008,16.4,6.6,33.4,3.1,21.4
Romania,2008,1.25,3.4,10.6,1.4,6.0
Russian Federation,2008,1.25,3.0,11.699999809265137,1.1,6.0
Rwanda,2008,36.5,5.1,46.8,7.6,36.4
Saudi Arabia,2008,3.4,5.1,12.5,1.4,8.5
Senegal,2008,10.9,8.9,19.7,7.0,20.9
Serbia,2008,1.25,4.0,7.4,0.8,5.3
Sierra Leone,2008,28.1,7.5,36.7,17.3,41.1
Slovakia,2008,5.1,1.0,3.799999952316284,0.7,2.5
Solomon Islands,2008,14.1,4.3,33.2,2.8,18.8
Somalia,2008,69.8,14.3,32.2,16.6,60.5
South Africa,2008,3.5,5.4,24.5,6.4,16.4
Sri Lanka,2008,11.1,13.5,18.2,1.2,17.6
Suriname,2008,7.3,4.9,9.8,2.4,10.4
Syrian Arab Republic,2008,5.6,10.9,28.6,1.9,17.0
Tajikistan,2008,29.3,5.6,32.0,4.2,26.9
Tanzania (United Rep. of),2008,25.1,2.9,41.8,7.7,29.4
Thailand,2008,10.6,4.7,15.9,1.5,12.3
Timor-Leste,2008,23.2,21.3,56.3,7.7,42.2
Togo,2008,20.7,6.0,28.5,9.4,27.7
Trinidad & Tobago,2008,9.3,5.1,7.9,2.6,11.0
Tunisia,2008,3.6,3.4,10.0,1.9,7.6
Türkiye,2008,3.2,1.0,13.0,2.1,6.9
Turkmenistan,2008,4.6,7.2,16.7,4.6,14.3
Uganda,2008,19.8,5.3,38.3,8.7,28.6
Ukraine,2008,1.25,6.8,19.2,1.3,10.0
United Arab Emirates,2008,5.3,1.0,1.2999999523162842,0.9,2.5
Uruguay,2008,1.25,1.4,11.1,1.2,2.5
Uzbekistan,2008,6.2,4.4,17.8,3.6,12.7
Venezuela (Boliv. Rep. of),2008,2.6,4.5,14.7,1.7,8.7
Viet Nam,2008,12.5,9.4,29.6,2.4,19.7
Zambia,2008,45.6,5.6,46.4,8.6,41.4
Zimbabwe,2008,27.1,2.4,33.9,9.3,29.6
Afghanistan,2016,20.4,5.1,41.9,7.0,28.0
Albania,2016,4.4,1.6,12.9,0.9,6.7
Algeria,2016,2.6,3.8,10.4,2.4,8.0
Angola,2016,15.2,4.9,36.3,8.4,25.7
Argentina,2016,3.2,1.9,7.9,1.1,5.3
Armenia,2016,1.25,4.4,10.6,1.4,6.7
Azerbaijan,2016,1.25,3.8,11.9,2.6,8.1
Bangladesh,2016,14.4,12.8,32.8,3.7,24.4
Belarus,2016,1.25,1.4,1.8,0.4,2.5
Benin,2016,9.7,4.8,33.7,9.5,23.8
Bolivia (Plurinat. State of),2016,14.9,2.0,15.8,3.0,14.0
Bosnia & Herzegovina,2016,1.25,3.4,8.6,0.7,5.0
Botswana,2016,20.9,6.6,22.7,4.9,22.5
Brazil,2016,1.25,2.3,7.1,1.7,5.4
Bulgaria,2016,4.2,5.9,6.5,0.8,7.3
Burkina Faso,2016,14.0,7.5,25.6,9.8,25.4
Cabo Verde,2016,16.5,2.4,6.8,1.8,11.5
Cambodia,2016,6.8,9.7,27.7,3.0,17.7
Cameroon,2016,5.4,5.2,30.1,8.6,20.4
Central African Republic,2016,26.7,6.3,39.5,12.6,36.0
Chad,2016,26.1,13.2,34.8,12.6,38.5
Chile,2016,3.3,0.3,1.7,0.8,2.5
China,2016,1.25,1.9,6.1,1.0,2.5
Colombia,2016,4.4,1.6,12.1,1.5,7.1
Comoros,2016,13.5,7.7,25.5,4.8,20.5
Congo (Republic of),2016,29.6,8.2,20.3,5.1,26.6
Costa Rica,2016,1.25,1.8,7.7,0.9,2.5
